111_Donor-54_TP01_CD8pos_G2	SRR7692789
112_Donor-54_TP01_CD8pos_H2	SRR7692790
114_Donor-54_TP01_CD8pos_B3	SRR7692791
115_Donor-54_TP01_CD8pos_C3	SRR7692792
116_Donor-54_TP01_CD8pos_D3	SRR7692793
117_Donor-54_TP01_CD8pos_E3	SRR7692794
118_Donor-54_TP01_CD8pos_F3	SRR7692795
119_Donor-54_TP01_CD8pos_G3	SRR7692796
120_Donor-54_TP01_CD8pos_H3	SRR7692797
121_Donor-54_TP01_CD8pos_A4	SRR7692798
122_Donor-54_TP01_CD8pos_B4	SRR7692799
123_Donor-54_TP01_CD8pos_C4	SRR7692800
124_Donor-54_TP01_CD8pos_D4	SRR7692801
125_Donor-54_TP01_CD8pos_E4	SRR7692802
126_Donor-54_TP01_CD8pos_F4	SRR7692803
127_Donor-54_TP01_CD8pos_G4	SRR7692804
128_Donor-54_TP01_CD8pos_H4	SRR7692805
129_Donor-54_TP01_CD8pos_A5	SRR7692806
130_Donor-54_TP01_CD8pos_B5	SRR7692807
131_Donor-54_TP01_CD8pos_C5	SRR7692808
132_Donor-54_TP01_CD8pos_D5	SRR7692809
133_Donor-54_TP01_CD8pos_E5	SRR7692810
134_Donor-54_TP01_CD8pos_F5	SRR7692811
135_Donor-54_TP01_CD8pos_G5	SRR7692812
136_Donor-54_TP01_CD8pos_H5	SRR7692813
137_Donor-54_TP01_CD8pos_A6	SRR7692814
138_Donor-54_TP01_CD8pos_B6	SRR7692815
139_Donor-54_TP01_CD8pos_C6	SRR7692816
140_Donor-54_TP01_CD8pos_D6	SRR7692817
141_Donor-54_TP01_CD8pos_E6	SRR7692818
142_Donor-54_TP01_CD8pos_F6	SRR7692819
143_Donor-54_TP01_CD8pos_G6	SRR7692820
144_Donor-54_TP01_CD8pos_H6	SRR7692821
145_Donor-54_TP01_CD8pos_A7	SRR7692822
146_Donor-54_TP01_CD8pos_B7	SRR7692823
147_Donor-54_TP01_CD8pos_C7	SRR7692824
148_Donor-54_TP01_CD8pos_D7	SRR7692825
149_Donor-54_TP01_CD8pos_E7	SRR7692826
150_Donor-54_TP01_CD8pos_F7	SRR7692827
151_Donor-54_TP01_CD8pos_G7	SRR7692828
152_Donor-54_TP01_CD8pos_H7	SRR7692829
153_Donor-54_TP01_CD8pos_A8	SRR7692830
154_Donor-54_TP01_CD8pos_B8	SRR7692831
